KEYTAB_KEY;KEYTAB_KURZTEXT;KEYTAB_LANGTEXT_1;KEYTAB_LANGTEXT_2
107;Herstellung von Back- und Teigwaren;Herstellung von Back- und Teigwaren;
1071;Herstellung von Backwaren, ohne Dauerbackwaren;Herstellung von Backwaren, ohne Dauerbackwaren;
10710;Herstellung von Backwaren, ohne Dauerbackwaren;Herstellung von Backwaren, ohne Dauerbackwaren;
1072;Herstellung von Dauerbackwaren;Herstellung von Dauerbackwaren;
10720;Herstellung von Dauerbackwaren;Herstellung von Dauerbackwaren;
1073;Herstellung von Teigwaren;Herstellung von Teigwaren;
10730;Herstellung von Teigwaren;Herstellung von Teigwaren;
108;Herstellung von sonstigen Nahrungsmitteln;Herstellung von sonstigen Nahrungsmitteln;
1081;Herstellung von Zucker;Herstellung von Zucker;
10810;Herstellung von Zucker;Herstellung von Zucker;
1082;Herstellung von Süßwaren, ohne Dauerbackwaren;Herstellung von Süßwaren, ohne Dauerbackwaren;
10820;Herstellung von Süßwaren, ohne Dauerbackwaren;Herstellung von Süßwaren, ohne Dauerbackwaren;
1083;Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz;Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz;
10830;Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz;Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz;
1084;Herstellung von Würzmitteln und Soßen;Herstellung von Würzmitteln und Soßen;
10840;Herstellung von Würzmitteln und Soßen;Herstellung von Würzmitteln und Soßen;
1085;Herstellung von Fertiggerichten;Herstellung von Fertiggerichten;
10850;Herstellung von Fertiggerichten;Herstellung von Fertiggerichten;
1086;Herstellung von homogenisierten und diätetischen Nahrungsmitteln;Herstellung von homogenisierten und diätetischen Nahrungsmitteln;
10860;Herstellung von homogenisierten und diätetischen Nahrungsmitteln;Herstellung von homogenisierten und diätetischen Nahrungsmitteln;
1089;Herstellung von sonstigen Nahrungsmitteln a. n. g.;Herstellung von sonstigen Nahrungsmitteln a. n. g.;
10890;Herstellung von sonstigen Nahrungsmitteln a. n. g.;Herstellung von sonstigen Nahrungsmitteln a. n. g.;
109;Herstellung von Futtermitteln;Herstellung von Futtermitteln;
1091;Herstellung von Futtermitteln für Nutztiere;Herstellung von Futtermitteln für Nutztiere;
10910;Herstellung von Futtermitteln für Nutztiere;Herstellung von Futtermitteln für Nutztiere;
1092;Herstellung von Futtermitteln für sonstige Tiere;Herstellung von Futtermitteln für sonstige Tiere;
10920;Herstellung von Futtermitteln für sonstige Tiere;Herstellung von Futtermitteln für sonstige Tiere;
11;Getränkeherstellung;Getränkeherstellung;
110;Getränkeherstellung;Getränkeherstellung;
1101;Herstellung von Spirituosen;Herstellung von Spirituosen;
11010;Herstellung von Spirituosen;Herstellung von Spirituosen;
1102;Herstellung von Traubenwein;Herstellung von Traubenwein;
11020;Herstellung von Traubenwein;Herstellung von Traubenwein;
1103;Herstellung von Apfelwein und sonstigen gegorenen Getränken aus Obst;Herstellung von Apfelwein und sonstigen gegorenen Getränken aus Obst;
11030;Herstellung von Apfelwein und sonstigen gegorenen Getränken aus Obst;Herstellung von Apfelwein und sonstigen gegorenen Getränken aus Obst;
1104;Herstellung von Wermutwein und sonstigen aromatisierten Weinen;Herstellung von Wermutwein und sonstigen aromatisierten Weinen;
11040;Herstellung von Wermutwein und sonstigen aromatisierten Weinen;Herstellung von Wermutwein und sonstigen aromatisierten Weinen;
1105;Herstellung von Bier;Herstellung von Bier;
11050;Herstellung von Bier;Herstellung von Bier;
1106;Herstellung von Malz;Herstellung von Malz;
11060;Herstellung von Malz;Herstellung von Malz;
1107;Herstellung von Erfrischungsgetränken und Mineralwässern;Herstellung von Erfrischungsgetränken und Mineralwässern;
11070;Herstellung von Erfrischungsgetränken und Mineralwässern;Herstellung von Erfrischungsgetränken und Mineralwässern;
12;Tabakverarbeitung;Tabakverarbeitung;
120;Tabakverarbeitung;Tabakverarbeitung;
1200;Tabakverarbeitung;Tabakverarbeitung;
12000;Tabakverarbeitung;Tabakverarbeitung;
13;Herstellung von Textilien;Herstellung von Textilien;
131;Spinnstoffaufbereitung und Spinnerei;Spinnstoffaufbereitung und Spinnerei;
1310;Spinnstoffaufbereitung und Spinnerei;Spinnstoffaufbereitung und Spinnerei;
13100;Spinnstoffaufbereitung und Spinnerei;Spinnstoffaufbereitung und Spinnerei;
132;Weberei;Weberei;
1320;Weberei;Weberei;
13200;Weberei;Weberei;
133;Veredlung von Textilien und Bekleidung;Veredlung von Textilien und Bekleidung;
1330;Veredlung von Textilien und Bekleidung;Veredlung von Textilien und Bekleidung;
13300;Veredlung von Textilien und Bekleidung;Veredlung von Textilien und Bekleidung;
133001;Textildruck;Textildruck;
139;Herstellung von sonstigen Textilwaren;Herstellung von sonstigen Textilwaren;
